path,label,split,sha256,group
experiments/data/raw/butterfly/126550410.jpg,butterfly,val,06a40d9a4b1806cdfc00bb5e41a2097d64d63d81c9e0348d81191b318a12d970,Miranda Kohout
experiments/data/raw/butterfly/13731530.jpg,butterfly,test,d2047a0e62bfc2bfe1d525e9c45e2f6ab220858c7720528f306b47561b980073,Avenue
experiments/data/raw/butterfly/111142087.jpg,butterfly,train,8c09f32ed72cf92960ff6d22f336f3cdab26f24c40238cd8ad1bd9ba922bc5ae,John Robert McPherson
experiments/data/raw/butterfly/63170430.jpg,butterfly,train,9f49266ee17e8f1cb780576457e35fec4bdd69e92d15916d66ed6dd4e33ad833,Photo by David J. Stang
experiments/data/raw/butterfly/74796235.jpg,butterfly,train,73f36b38640c968a859d422ae0b995e14540ff990a4d2307b9fe2dbf2a18bb86,James St. John
experiments/data/raw/butterfly/25334420.jpg,butterfly,train,4262c5be9551dd5b24dbff457bee13e7b89474064487329706bd009925e7e1d3,Diego Delso
experiments/data/raw/butterfly/71886764.jpg,butterfly,test,bd7009265da7cb333cf3e484e58941fbbb7298147fe7fb8898849dcc5a103552,Forest and Kim Starr
experiments/data/raw/butterfly/54576904.jpg,butterfly,val,cfe61a446133563e9cce39db9e68c06f5c76a8560a4d6d6ded4113d80f14773d,Judy Gallagher
experiments/data/raw/butterfly/41991627.jpg,butterfly,test,919cc454078e0c691bae73c588c7bcc898af1c2b72e60c6e382dc96c25bc4d9e,R. A. Nonenmacher
experiments/data/raw/butterfly/54631821.jpg,butterfly,val,edc67b2045b40e534cb95a4ec0ef36fad7ce74d28288af021887137ba720cae2,Judy Gallagher
experiments/data/raw/butterfly/71886794.jpg,butterfly,test,dacc2eefc24068183df36d0bacb0e75e6f0c82522f9c8cb7ac336ca710467c2b,Forest and Kim Starr
experiments/data/raw/butterfly/129745857.jpg,butterfly,train,a1ebf496e3ae9739f039eb33b42f9a5be754c8f5f2d583fd4dd440da3839d117,Charles J. Sharp
experiments/data/raw/butterfly/129834163.jpg,butterfly,train,785188cc6bdb00aa4aa925a17c605461fb825fb4eb71048dd349bb569f90f1d9,Charles J. Sharp
experiments/data/raw/butterfly/64927836.jpg,butterfly,val,7f52bf47e8d492efedbb4a5088c9e93b3a96c2bd5cbed0c6f2a970fa4c4bddf5,Judy Gallagher
experiments/data/raw/butterfly/1226444.jpg,butterfly,train,371694c0a133b90a3a13a5a69ba511b5bca3d247485df1e66f2eb5319a7bb855,Simon Koopmann
experiments/data/raw/butterfly/25334421.jpg,butterfly,train,e1469c60abec321dc5e7cee9aae6a853be00f9373ae21d77ecf86bd546606467,Diego Delso
experiments/data/raw/butterfly/20370978.jpg,butterfly,train,8fe4cc3de6a0089533c17883f86ef5ce03faa30ae519d08418ce4d469a20f02f,Thomas Bresson
experiments/data/raw/butterfly/8788956.jpg,butterfly,val,0c2bfed22ea43ac6e8fef64168b8773d0ec08abbc114b3fca9db0d72fced675e,Korall
experiments/data/raw/butterfly/111142116.jpg,butterfly,train,ea565c7eda6bfcff2e9a7d1f35ead9d8f41e5afaa67841aa1784c9045695d4f4,John Robert McPherson
experiments/data/raw/butterfly/5386936.jpg,butterfly,test,6ec41110c457d6c00e02d5a34202b3f66e2d84fb372093ec383d0cffaefe6e90,Photo by and (c)2008 Derek Ramsey (Ram-Man)
experiments/data/raw/butterfly/10348852.jpg,butterfly,train,e3f513d20f2ed79b5d921d0a85cfb9fffefb570e64967fca35bc81e356412b17,Thomas Bresson
experiments/data/raw/butterfly/7716212.jpg,butterfly,train,2633d591bebc639dcc2d6986f9100f55c9e38b57f0610b765a90d5bad8ed3a1e,Thomas Bresson
experiments/data/raw/butterfly/148573413.jpg,butterfly,train,42e01100bf5adc7714e2e641da0da9222c8c8b627b6370c356cb86be50a7f745,ImagePerson
experiments/data/raw/butterfly/20371447.jpg,butterfly,train,c17299b15585578288c18e7e8032ff28f947a0b5319289e2392c9eed2efb6cb4,Thomas Bresson
experiments/data/raw/butterfly/10348903.jpg,butterfly,train,8deaba3a6c3290b1f694e0b2f7ddc246ca925a38b2de35fb92eb520798640a77,Thomas Bresson
